hf_model_path, abstract_algebra, anatomy, astronomy, business_ethics, clinical_knowledge, college_biology, college_chemistry, college_computer_science, college_mathematics, college_medicine, college_physics, computer_security, conceptual_physics, econometrics, electrical_engineering, elementary_mathematics, formal_logic, global_facts, high_school_biology, high_school_chemistry, high_school_computer_science, high_school_european_history, high_school_geography, high_school_government_and_politics, high_school_macroeconomics, high_school_mathematics, high_school_microeconomics, high_school_physics, high_school_psychology, high_school_statistics, high_school_us_history, high_school_world_history, human_aging, human_sexuality, international_law, jurisprudence, logical_fallacies, machine_learning, management, marketing, medical_genetics, miscellaneous, moral_disputes, moral_scenarios, nutrition, philosophy, prehistory, professional_accounting, professional_law, professional_medicine, professional_psychology, public_relations, security_studies, sociology, us_foreign_policy, virology, world_religions, avg
mistralai/Mistral-7B-Instruct-v0.1, 0.7519019764661788, 0.6949458235502243, 0.7152345794439315, 0.6595389521121979, 0.7120496112108231, 0.6814240282773971, 0.7392377054691315, 0.7064810162782669, 0.7468206810951233, 0.7225971525907516, 0.7696397238969803, 0.6717994117736816, 0.7131734347343445, 0.7441337019205093, 0.6913327419757843, 0.7774117010831832, 0.6991729825735092, 0.7708012962341309, 0.6929684799909591, 0.7463219189643859, 0.7000825238227845, 0.691876911520958, 0.6488488519191742, 0.6690550941228867, 0.7162290740013123, 0.773051398396492, 0.7340552747249603, 0.7798539429903031, 0.6496580082178116, 0.7751704955101013, 0.5953064697980881, 0.6008404642343521, 0.6576869183778763, 0.6422000676393509, 0.6633395808935165, 0.6764202600717545, 0.6659589111804962, 0.7079761111736298, 0.6740305805206299, 0.5929457128047944, 0.6616308003664017, 0.5581965065002441, 0.7019417977333069, 0.7263097482919693, 0.6940793174505234, 0.7250337129831315, 0.7052976197004318, 0.6990283805131913, 0.7137672764062881, 0.7237551802396774, 0.7828452277183533, 0.6689494264125824, 0.7016480547189713, 0.6382040846347808, 0.615523294210434, 0.691022977232933, 0.5757519227266311, 0.6948168227965372
mistralai/Mathstral-7B-v0.1, 0.7164886146783829, 0.5480985647439957, 0.5441774100065231, 0.5176485735177994, 0.53134985268116, 0.4658174329996109, 0.6470314121246338, 0.626605863571167, 0.6995476031303406, 0.5200838059186935, 0.6788033729791642, 0.43475177586078645, 0.5857111638784409, 0.6295693182945251, 0.5621524649858475, 0.6852967238426209, 0.6104939466714859, 0.7153566640615463, 0.45032244026660917, 0.6270216083526612, 0.5143813222646714, 0.4907288086414337, 0.4726449584960937, 0.4453109097480774, 0.5535245126485825, 0.7048186534643173, 0.5306721091270447, 0.705019896030426, 0.38043830573558807, 0.6225693207979203, 0.44672423422336577, 0.44539148271083834, 0.5247753518819809, 0.5164472997188568, 0.4634307771921158, 0.5166790813207627, 0.4869142246246338, 0.6582214564085007, 0.49211653947830203, 0.3282022750377655, 0.4690799480676651, 0.39293037831783295, 0.5460908502340317, 0.7520610630512238, 0.5348864287137985, 0.6103775060176849, 0.5603357344865799, 0.6436999213695526, 0.6902466028928756, 0.6132365155220032, 0.6214056378602981, 0.5186049973964691, 0.6375635558366776, 0.4487536060810089, 0.4281579548120499, 0.5770428603887559, 0.4010686194896698, 0.5533488125027273
EleutherAI/llemma_7b, 0.7648714053630828, 0.7818766468763352, 0.7881852811574936, 0.7235917675495148, 0.7605181497335434, 0.7569162863492965, 0.7906379443407059, 0.7507291561365128, 0.7743540585041047, 0.7768821156024933, 0.7899011385440826, 0.7241948640346527, 0.7347297197580338, 0.7429727095365525, 0.7421935176849366, 0.799689639210701, 0.7190473467111588, 0.7820970773696899, 0.787056313753128, 0.7714154040813446, 0.737833913564682, 0.7474875801801681, 0.7602582275867462, 0.773810139298439, 0.7657641673088074, 0.7928618377447129, 0.756657378077507, 0.7951483178138733, 0.7649997574090958, 0.8088853442668915, 0.7425999164581298, 0.728832568526268, 0.7120008951425553, 0.7310374391078949, 0.7101936620473862, 0.7262166249752045, 0.733431693315506, 0.7249900370836257, 0.7772753399610519, 0.7437129551172257, 0.7174965471029282, 0.7133620780706406, 0.7141419190168381, 0.7234955775737762, 0.7464734357595444, 0.749880000948906, 0.7585768222808837, 0.7230776274204254, 0.7367434167861938, 0.7868223959207534, 0.7952225905656815, 0.7545445144176484, 0.8227167153358459, 0.7503657674789429, 0.7321399956941604, 0.7336404746770859, 0.7146271914243698, 0.7538453580308379
mistralai/Mistral-7B-Instruct-v0.1_quantized, 0.7525497561693192, 0.7001788657903671, 0.7251843935251236, 0.6723902899026871, 0.712695659995079, 0.6881809091567993, 0.7445959520339965, 0.7097422575950623, 0.7496299088001251, 0.7248006576299667, 0.76864391207695, 0.6844105625152588, 0.7158608102798462, 0.7446918737888336, 0.7053180581331253, 0.7754841625690461, 0.7011496818065643, 0.7666309052705764, 0.7006249582767486, 0.7512716126441955, 0.7042930048704147, 0.7005976957082748, 0.654082505106926, 0.6815621435642243, 0.7172085016965866, 0.772146863937378, 0.7370152062177658, 0.7793280625343323, 0.6664189493656159, 0.7759272837638855, 0.6126428228616715, 0.6177385956048965, 0.6629541605710983, 0.6587520283460617, 0.675225385427475, 0.6807042253017426, 0.6788586992025375, 0.712079246044159, 0.6851185429096222, 0.6056393980979919, 0.6661373871564865, 0.5765162229537963, 0.7061362773180008, 0.7314308845996856, 0.7020785826444625, 0.7321042531728744, 0.71309923350811, 0.7052785104513168, 0.7187246942520141, 0.7229555469751358, 0.7866443514823913, 0.6804325884580612, 0.724653468132019, 0.655088980793953, 0.6262252992391586, 0.6981561052799224, 0.5913804912567139, 0.7019187962590603
meta-llama/Meta-Llama-3-70B-Instruct, 0.5582160639762879, 0.2702606463432312, 0.2010445064306259, 0.2457464951276779, 0.22397199511528015, 0.13611665725708008, 0.4890263944864273, 0.3920302492380142, 0.560338739156723, 0.24807024478912354, 0.46918160378932955, 0.1869280993938446, 0.26927834391593936, 0.33769229412078855, 0.2840049278736114, 0.3626044350862503, 0.47581023871898653, 0.49510264813899996, 0.10382547378540039, 0.37692696452140806, 0.13252458095550537, 0.14752792894840241, 0.12261572301387787, 0.053638112545013425, 0.23146171927452086, 0.5516703426837921, 0.15820366740226746, 0.45131565511226657, 0.07735420942306519, 0.33566426336765287, 0.12657604694366456, 0.1008358097076416, 0.25553425192832946, 0.15555218756198883, 0.15389172554016115, 0.19181973695755006, 0.14672488391399383, 0.39581782937049864, 0.11963743150234223, 0.07399603724479675, 0.1296726667881012, 0.07898517072200775, 0.23162945806980134, 0.543889679312706, 0.16697833001613616, 0.26565455257892606, 0.20478746831417083, 0.3977302187681198, 0.41397139251232146, 0.18627107560634612, 0.24951009094715118, 0.3115877324342728, 0.25901360630989073, 0.16236622750759125, 0.09097774684429169, 0.4624913102388382, 0.13067634046077728, 0.26236372337006686
meta-llama/Meta-Llama-3-70B-Instruct_quantized, 0.5614247953891754, 0.30973227620124816, 0.23146510004997253, 0.26908842504024505, 0.24957757890224458, 0.13639186441898346, 0.5157999318838119, 0.3896386963129044, 0.5585474580526352, 0.2641741019487381, 0.5137997430562973, 0.1898289716243744, 0.3127285873889923, 0.37886851966381074, 0.3126263642311096, 0.3880178093910217, 0.48499009788036346, 0.5246222233772277, 0.13613999307155608, 0.38529314517974855, 0.1836722457408905, 0.1817283809185028, 0.15071725308895112, 0.06480537056922912, 0.24592366456985473, 0.592085542678833, 0.2004319351911545, 0.48545619010925295, 0.07539489686489105, 0.3477801936864853, 0.14145931005477905, 0.10772641479969025, 0.29374693274497987, 0.17275304555892945, 0.1855334931612015, 0.19829868376255036, 0.15172238051891326, 0.42304007709026337, 0.1270831209421158, 0.11227167725563049, 0.13477191865444182, 0.09630951046943664, 0.24513299763202667, 0.6085474818944931, 0.16003023505210875, 0.27249785006046295, 0.2396924215555191, 0.4071037143468857, 0.41269990921020505, 0.22860439479351044, 0.2919751971960068, 0.3210510438680649, 0.2783548957109451, 0.18588326513767242, 0.08732425451278686, 0.4618932282924652, 0.157028671503067, 0.2832155698642397
meta-llama/Llama-2-7b-chat-hf, 0.7647890800237656, 0.7978601413965225, 0.7652637988328934, 0.6999914628267289, 0.7358305996656418, 0.7094843417406083, 0.7234577071666718, 0.7042825049161912, 0.7425242453813553, 0.7470617300271988, 0.7826894450187684, 0.6836050766706466, 0.7373220741748809, 0.7605163949728012, 0.7257277762889862, 0.8077927428483963, 0.6812995046377182, 0.817193346619606, 0.7508096545934677, 0.7980316942930221, 0.7163003450632095, 0.787338353395462, 0.7221464037895202, 0.7391485607624054, 0.7259159034490585, 0.8071732091903686, 0.764077912569046, 0.7581086504459381, 0.7360168671607972, 0.7564940083026886, 0.6325927966833115, 0.6816963881254197, 0.6817099356651306, 0.6703211778402328, 0.7344266438484192, 0.715894290804863, 0.7169539171457291, 0.688969589471817, 0.7807924515008926, 0.724222469329834, 0.6742710757255554, 0.6367086905241013, 0.7237377488613128, 0.7156499606370926, 0.7078795844316482, 0.7755816578865051, 0.748371290564537, 0.6790721589326858, 0.727741795182228, 0.6683848983049393, 0.8329489386081695, 0.7450210005044937, 0.8259474569559098, 0.7386516457796097, 0.7023767185211182, 0.7315679466724396, 0.657425662279129, 0.7327573934563419
meta-llama/Llama-2-7b-chat-hf_quantized, 0.7666554003953934, 0.7700179660320282, 0.7403375804424286, 0.6953923094272614, 0.7103094619512558, 0.7053038918972016, 0.7245739972591401, 0.7149130219221115, 0.7644685810804367, 0.7505783492326736, 0.763588085770607, 0.6913125360012055, 0.7427877515554429, 0.7558113646507263, 0.7117615550756454, 0.8024789446592331, 0.6850797384977341, 0.815062597990036, 0.7383551281690598, 0.8012212389707565, 0.7338709712028504, 0.8026820337772369, 0.7224169635772705, 0.7448064762353898, 0.6993070203065872, 0.7993123024702072, 0.7586178147792816, 0.7514589005708694, 0.731427828669548, 0.7499025106430054, 0.6555491149425506, 0.6943465948104859, 0.6930630540847779, 0.6704796779155732, 0.7486588299274445, 0.7019424080848694, 0.7180143398046493, 0.7032787364721298, 0.7473474842309952, 0.7201460927724839, 0.6740781021118164, 0.6517253947257996, 0.7304082775115966, 0.7167642116546631, 0.7102922379970551, 0.7760004538297653, 0.7422130513191223, 0.6883837193250656, 0.7335927546024322, 0.6705594062805176, 0.8380824702978135, 0.7401174062490463, 0.795285165309906, 0.7271427410840988, 0.7008386492729187, 0.7347954344749451, 0.6681223565340042, 0.7314919384006869
NEU-HAI/Llama-2-7b-alpaca-cleaned, 0.767760888338089, 0.7223994368314743, 0.7314433187246323, 0.6535754209756851, 0.7229244989156723, 0.6706550407409668, 0.7550226813554763, 0.6951159030199051, 0.7381482255458832, 0.7185874086618423, 0.7877305620908737, 0.6781579691171646, 0.7345111501216889, 0.76406036734581, 0.6347743117809296, 0.8053710967302322, 0.6896484869718552, 0.7996818441152572, 0.720351186990738, 0.7825272727012634, 0.7160596066713333, 0.758216243982315, 0.6738721972703934, 0.702959046959877, 0.6573323482275009, 0.8059293019771576, 0.7366506099700928, 0.7435999059677124, 0.675230358839035, 0.7696235620975495, 0.6393846243619918, 0.6856391984224319, 0.6647012716531754, 0.6087906986474991, 0.7037588953971863, 0.6839681959152222, 0.6971892416477203, 0.6819502508640289, 0.7222301888465882, 0.6533120059967041, 0.6586204570531845, 0.5798314535617828, 0.7079256337881088, 0.7084337204694748, 0.6624547630548477, 0.7512327736616135, 0.732571793794632, 0.6917891716957092, 0.7120195370912552, 0.6742052447795868, 0.795824089050293, 0.6982539933919907, 0.7872455811500549, 0.6678381866216659, 0.6487827277183533, 0.681445751786232, 0.6167489951848983, 0.7075099771692045
meta-llama/Meta-Llama-3-8B-Instruct, 0.7037971168756485, 0.4764730930328369, 0.498339449763298, 0.4330228185653687, 0.46952068388462065, 0.4409673374891281, 0.6549338966608047, 0.6482628017663956, 0.7091593611240387, 0.49674201786518096, 0.720290167927742, 0.41888613879680636, 0.5462679952383042, 0.6867503088712692, 0.5319843453168869, 0.6507835263013839, 0.6007691240310669, 0.6443382239341736, 0.41531107664108274, 0.6581292659044266, 0.537377523779869, 0.4544138920307159, 0.41574047327041624, 0.38764575362205506, 0.5618658787012101, 0.7509133553504944, 0.5434986817836761, 0.7514579957723617, 0.2607526981830597, 0.6720890814065933, 0.41919440269470215, 0.45359484434127806, 0.4538974088430405, 0.4106788718700409, 0.3818609398603439, 0.4845960861444473, 0.46096822440624236, 0.6479006242752076, 0.4209145444631577, 0.2760944992303848, 0.3737030762434006, 0.2896457314491272, 0.514488497376442, 0.7356094217300415, 0.47882136642932893, 0.51717689037323, 0.4450703752040863, 0.5928467339277268, 0.6261140710115433, 0.5125273883342742, 0.6075298500061035, 0.4686573553085327, 0.6247245335578918, 0.40836698055267334, 0.32525473535060884, 0.5306658571958542, 0.29734662294387815, 0.5175216494213071
